2021-01-26 00:00:00.058 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:10.050 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:10.050 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:01:20.088 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:20.089 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:01:30.106 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:30.107 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:01:40.072 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:40.073 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:01:50.064 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:01:50.065 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:00.053 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:00.053 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:10.047 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:10.047 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:20.055 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:20.056 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:30.051 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:30.052 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:40.054 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:40.055 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:02:50.053 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:02:50.054 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:00.052 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:00.052 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:10.053 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:10.054 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:20.051 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:20.052 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:30.052 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:30.053 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:40.055 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:40.056 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:03:50.052 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:03:50.053 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:00.051 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:00.052 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:10.046 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:10.046 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:20.054 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:20.055 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:30.049 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:30.049 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:40.057 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:40.058 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:04:46.717 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,12,236,147,4],"IDX":205,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:46.718 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,12,236,147,4],\"IDX\":205,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:46.719 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,12,236,147,4],\"IDX\":205,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:46.719 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,12,236,147,4],"IDX":205,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:46.917 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,8,232,147,4],"IDX":206,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:46.918 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,8,232,147,4],\"IDX\":206,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:46.919 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,8,232,147,4],\"IDX\":206,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:46.919 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,8,232,147,4],"IDX":206,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.150 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,7,231,147,4],"IDX":207,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.151 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,7,231,147,4],\"IDX\":207,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:47.152 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,7,231,147,4],\"IDX\":207,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:47.152 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,7,231,147,4],"IDX":207,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.361 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,5,229,147,4],"IDX":208,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.362 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,5,229,147,4],\"IDX\":208,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:47.362 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,5,229,147,4],\"IDX\":208,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:47.362 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,5,229,147,4],"IDX":208,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.590 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,3,227,147,4],"IDX":209,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.590 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,3,227,147,4],\"IDX\":209,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:47.591 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,3,227,147,4],\"IDX\":209,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:47.591 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,3,227,147,4],"IDX":209,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.808 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,6,230,147,4],"IDX":210,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:47.808 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,6,230,147,4],\"IDX\":210,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:47.809 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,6,230,147,4],\"IDX\":210,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:47.809 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,6,230,147,4],"IDX":210,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.032 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,4,228,147,4],"IDX":211,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.032 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,4,228,147,4],\"IDX\":211,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:48.033 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,4,228,147,4],\"IDX\":211,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:48.033 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,4,228,147,4],"IDX":211,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.256 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,10,234,147,4],"IDX":212,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.256 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,10,234,147,4],\"IDX\":212,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:48.256 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,10,234,147,4],\"IDX\":212,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:48.256 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,10,234,147,4],"IDX":212,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.461 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,9,233,147,4],"IDX":213,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.461 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,9,233,147,4],\"IDX\":213,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:48.462 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,9,233,147,4],\"IDX\":213,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:48.462 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,9,233,147,4],"IDX":213,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.687 [nioEventLoopGroup-8-1] INFO  c.l.w.p.t.communication.client.TyrantClientTunnel - App层接收到Hal层的原始应答<<<<<<<<<<<<<<<<<：{"Dir":"H2A","PID":[1,11,235,147,4],"IDX":214,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:48.687 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,11,235,147,4],\"IDX\":214,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"sourceAck"}
2021-01-26 00:04:48.688 [nioEventLoopGroup-8-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:{"msg":"{\"Dir\":\"H2A\",\"PID\":[1,11,235,147,4],\"IDX\":214,\"CMD\":50,\"EX\":22,\"St\":\"END\"}","type":"ack"}
2021-01-26 00:04:48.688 [pool-5-thread-1] INFO  c.l.w.p.t.n.drawer.DrawerExceptionObserver - 异规抽屉异常指令获取:异规药盒异常信息上报（50）,{"Dir":"H2A","PID":[1,11,235,147,4],"IDX":214,"CMD":50,"EX":22,"St":"END"}
2021-01-26 00:04:50.045 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:04:50.045 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:05:00.058 [ThreadPoolTaskScheduler-1] INFO  c.l.w.p.tyrant.service.impl.TyrantCommonService - websocket:pharm service online
2021-01-26 00:05:00.058 [ThreadPoolTaskScheduler-1] INFO  c.l.windranger.pharmaux.init.PharmRunningState - 缓存药品信息-------------------
2021-01-26 00:05:00.339 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.service.impl.PharmStockService - existDrugCodes:["41296","40764","6","43044","44091"]
2021-01-26 00:05:00.361 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.service.impl.PharmStockService - hosMedications:[{"administration":"静滴","amountEachBox":1,"barcode":"81038930536393269256","capacityUnit":"盒","category":"01","createPerson":"dy","createTime":1523152553000,"dispenseUnit":"支","dosageUnit":"mg","drugCode":"40764","drugFactoryName":"国药集团容生制药有限公司","drugMaxHumidity":21,"drugMaxTemperature":25,"drugMinHumidity":20,"drugMinTemperature":20,"drugName":"维生素D2胶性钙注射液（仅做测试）","drugNature":"01","drugPinyin":"wssjxgzsyjzcs","drugSpec":"2ml/支*1支/盒","drugSupplierName":"国药集团容生制药有限公司","drugWubi":"LHNZSY","frequency":"st","frequencyCode":"st","rescue":0,"seqId":10,"unit":"ml","unitSpec":2,"updatePerson":"777","updateTime":1582874058000},{"administration":"静滴","amountEachBox":5,"barcode":"989865","capacity":5,"capacityUnit":"盒","category":"01","createPerson":"dy","createTime":1523152850000,"dispense":5,"dispenseUnit":"支","dosageUnit":"mg","drugCode":"41296","drugFactoryName":"国药集团容生制药有相似","drugMaxHumidity":35,"drugMaxTemperature":40,"drugMinHumidity":33,"drugMinTemperature":-1,"drugName":"舒血宁注射液","drugNature":"01","drugPinyin":"sxnzsy","drugSpec":"5ml/支*5支/盒","drugSupplierName":"湖北天圣药业有限公司","drugWubi":"SXNZSY","frequency":"st","frequencyCode":"st","rescue":0,"seqId":11,"unit":"ml","unitSpec":5,"updatePerson":"admin","updateTime":1571974273000},{"administration":"外用","amountEachBox":1,"barcode":"81068390032751773143","capacityUnit":"盒","category":"01","createPerson":"dy","createTime":1523153568000,"dispenseUnit":"支","dosageUnit":"mg","drugCode":"44091","drugFactoryName":"上海现代哈森药业有限公司","drugMaxHumidity":0,"drugMaxTemperature":16,"drugMinHumidity":0,"drugMinTemperature":11,"drugName":"10%氯化钾注射液","drugNature":"02","drugPinyin":"lhjzsy","drugSpec":"10ml/支*5支/盒","drugSupplierName":"上海现代哈森药业有限公司","drugWubi":"LHJZSY","frequency":"st","frequencyCode":"st","rescue":0,"seqId":13,"unit":"ml","unitSpec":10,"updatePerson":"777","updateTime":1609297747000},{"administration":"静滴","amountEachBox":5,"barcode":"6930054170005","capacity":5,"capacityUnit":"盒","category":"01","createPerson":"dy","createTime":1523155203000,"dispense":5,"dispenseUnit":"支","dosage":2,"dosageUnit":"mg","drugCode":"43044","drugFactoryName":"神威药业集团有限公司","drugMaxTemperature":30,"drugMinTemperature":20,"drugName":"盐酸利多卡因注射液","drugNature":"03","drugPinyin":"ysldkyzsy","drugSpec":"2ml/支*5支/盒","drugSupplierName":"神威药业集团有限公司","drugWubi":"YSLDKYZSY","frequency":"st","frequencyCode":"st","rescue":0,"seqId":15,"unit":"ml","unitSpec":2,"updatePerson":"777","updateTime":1545381880000},{"administration":"静滴","amountEachBox":5,"barcode":"9898989787854","capacityUnit":"盒","category":"01","createPerson":"lnj","createTime":1553047252000,"dispense":5,"dispenseUnit":"支","dosageUnit":"mg","drugCode":"6","drugFactoryName":"神威药业集团有限公司","drugMaxHumidity":75,"drugMaxTemperature":35,"drugMinHumidity":50,"drugMinTemperature":25,"drugName":"多巴胺（仅做测试）","drugNature":"01","drugPinyin":"dbajzcs","drugSpec":"1ml/支*5支/盒","drugSupplierName":"神威药业集团有限公司","drugWubi":"YP","frequency":"st","frequencyCode":"st","rescue":0,"seqId":23,"unit":"ml","unitSpec":1,"updatePerson":"777","updateTime":1582874058000}]
2021-01-26 00:05:00.364 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.service.impl.PharmStockService - boxTypeStocks:[{"boxType":2,"totalAmount":2}]
2021-01-26 00:05:00.366 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.quartz.TodayOutDrugFailStatTask - 今日2021-01-25出药失败次数统计结果为：{"wardName":"(新区)CCU病区","msgType":"msg_work_stat","fromUser":"pharm","id":"850c6fda546346e78cef162879d14e52","wardCode":"2000370","content":{"target":[{"result":0,"targetName":"今日出药失败次数","statDay":"2021-01-25","targetCode":"todayOutDrugFailStat","statPeriod":"day","resultUnit":"次"}]}}
2021-01-26 00:05:00.367 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.service.impl.PharmStockService - wardBoxes:[{"boxCount":27,"boxType":2},{"boxCount":12,"boxType":3}]
2021-01-26 00:05:00.368 [ThreadPoolTaskScheduler-1] INFO  c.l.w.pharmaux.quartz.TodaySupplyFailStatTask - 今日2021-01-25补药失败次数统计结果为：{"wardName":"(新区)CCU病区","msgType":"msg_work_stat","fromUser":"pharm","id":"bd27025c1ee94e2ca450be52b3522777","wardCode":"2000370","content":{"target":[{"result":1,"targetName":"今日补药失败次数","statDay":"2021-01-25","targetCode":"todaySupplyFailStat","statPeriod":"day","resultUnit":"次"}]}}
